Unnamed: 0,名称,评分,地址,评论精选,评论数,热点
10,井垌岭,,广西壮族自治区桂林市全州县永岁镇左江村委,'1、位于广西壮族自治区桂林市全州县永岁镇，这里风景优美！值得一看！',1.0,1.3
11,仙人推磨,,桂林市灵川县漓江内,,27.0,
12,福寿广场,4.0,广西壮族自治区桂林市永福县连江路20号,'1、航班延误备降在桂林，然后到这儿了，很头疼',2.0,1.6
13,老山界龙潭江景区4A,,华江瑶族乡龙塘江村,3,45.0,
14,平安壮寨,4.6,桂林市龙胜各族县和平乡平安村龙脊梯田景区内（近平安壮族梯田）,'1、去龙脊一定要去看梯田，夏天满眼绿色，秋天一片金黄',110.0,5.6
15,【桂林】圣诞专场·《天空之城》久石让&宫崎骏经典动漫音乐作品视听音乐会,,广西壮族自治区桂林市象山区平山北路33号瓦窑小镇,,15.0,
16,青狮潭水库风景区,,139乡道,7,28.0,
17,桂林动物园,3.6,桂林市七星区七星路1号,'1、桂林动物园门票48元一人，还可以。桂林动物园总体来说环境还不错，比较安静。里面有个生态雨林馆，氛围感很好，适合打卡拍照。',232.0,4.7
18,九里花海,3.9,桂林市阳朔十里画廊景区,'1、九里花海，这里也位于广西省桂林阳朔市。我去的那次是春天，很幸运的看到了超级惊艳美丽的花儿，心情也会随之好～～这里花海面积很大，可以随着小道儿去花海里逛',15.0,3.3
19,李宗仁官邸,4.4,桂林市象山区文明路4号,'1、位于桂林市文明路16号，建于二十世纪四十年代，属中西合璧的别墅式建筑。主楼坐西朝东，为砖木结构二层楼房，建筑面积818平方米。一楼有警卫室、客厅、秘书室；二楼有会议室、书房、卧室等。',132.0,4.8
20,穿山景区4A,4.4,桂林市七星区穿山小街55号,'1、20230312下午：1、“穿山景区”是位于漓江东岸、漓江支流小东江两岸的山水田园和溶洞景观，是桂林名山，留有“游圣”徐霞客的足迹，被誉为“桂林山水的眼睛”，坐拥两项吉尼斯世界纪录，即“在最小面积（61.1平方米）石山顶上的古塔”和“单束钟乳石连体石盾之最”。入园免费。①地址：桂林市七星区穿山小街55号。②交通：公交直达，开车很好停。③旺季：无。\t④用时：3小时。2、景区目前是开放式景区，从景区北面进入，西侧的江畔部分正在施工，“岁寒三友”（国歌《义勇军进行曲》作词者田汉、著名爱国戏剧家欧阳予倩、著名画家徐悲鸿的雕像，他们三人在抗日战争时期奋斗在文化战场最前线）、“湖心岛”（岛很小，由两座石桥连接两岸，但很有意境）、大榕树等位于江边的景观都看不了。溶洞“穿山岩”是景区精华部分，1979年发现，该溶洞是世界罕见的水晶溶洞，“鹅管石、石枝、水晶石和石头开花长毛”是洞内四大特色，并拥有吉尼斯世界纪录“单束钟乳石连体石盾之最”，可惜已封闭禁入。3、穿山岩南侧是景区标志性景观“月岩”的登山口，山不高，先爬到“翰苑碑林”，碑林位于石窟内，作品是现代向公众征集的，并不是古人石刻。石窟大门锁着进不去，只能透过门缝窥伺门内的别有洞天。继续向上到月岩，月岩也称“穿岩”，穿山由此得名，是一个位于山体中间、南北穿透的大洞，清风徐徐穿过洞口，像一台天然空调，让人不禁感慨大自然的鬼斧神工，传说是东汉开国元勋、伏波将军马援在伏波山上“一箭穿三山”的第一山。站在洞口，既能欣赏到洞壁上密集的宋代、明代石刻，又能遥望对面“塔山”上古塔的孤独傲立，让人心旷神怡。月岩的南北面的上山路均被封闭了，应该是通向顶峰“明月峰”的。月岩山脚下被修竹包裹的“梁漱溟墓”，是中国著名思想家梁漱溟的长眠之地，他被誉为“中国最后一位大儒”，其骨灰一部分埋在祖籍桂林，一部分埋在山东省邹平市，后者是他开展乡村建设运动、居住过8年的第二故乡。4、在去往塔山的路上，发现东北侧一个因施工牌显得很不起眼的登山小路，纠结了好久，强忍着酸酸的双腿决定登山，天道酬勤，此处山林为“穿山公园”，通向穿山的北峰，最高的观景台“穿北亭”建于20世纪80年代，能鸟瞰夕阳下西麓的桂林山水田园，和东麓钢筋城市中的车水马龙。偶遇施工队赶着毛驴驮着施工材料上山，毛驴边走边吃很可爱。5、通过景区南侧的…字数超限，在最后一张图片里继续。',170.0,5.8
21,阳朔之夜,4.7,广西壮族自治区桂林市阳朔县G321(广成线),'1、阳朔之夜唯美漂亮，趣味性强，逛吃逛完，值得打卡，氛围感满满。',75.0,5.1
22,临桂基督教会,,广西壮族自治区桂林市临桂区明湖路26号附近,,,
23,凤山公园,,广西壮族自治区桂林市永福县凤山公园(永福县政府东北),,13.0,
24,三门红瑶寨生态博物馆,,广西壮族自治区桂林市龙胜各族自治县三门红瑶寨,'1、三门红瑶寨就在去温泉的路上，交通很方便，就在路边，少数民族风情浓厚。路边也有很多吃饭的农家餐馆，主要以凤鸡为主。味道还不错，江边景色也很美。',2.0,2.0
25,李、刘、张三将军墓,,灵南一巷与灵渠南路交叉口西南50米,,,
26,鉴山寺,3.2,桂林市阳朔县321国道十里画廊景区内,'1、鉴山寺，这里在我心里可以被称为“广西之最”。这个寺庙属于仿唐佛教建筑，其规模非常宏大。堪称广西省最大的寺庙。这座寺庙距今已有近千年的历史了，香火非常旺',21.0,3.0
27,石山底龙洞峡景区,,广西壮族自治区桂林市资源县车田苗族乡石山底村,,28.0,
28,大榕树,4.0,桂林市阳朔县十里画廊工农桥旁南高田乡金宝河畔(近321国道),'1、大榕树作为阳朔标志性的景点之一，已经是第二次来了。巨大的树冠，虬劲的树干，诉说着它悠悠的历史；绿宝石般的河水，飘荡的竹筏，似乎刘三姐就在那里唱着最好听的山歌。登上对歌台，远眺对岸的大榕树，群山连连恍如丹青，热气球空中飘荡，你会驻足很久、很久……',2591.0,6.6
29,板峡湖,,桂林市永福县堡里镇板峡水库,,18.0,
30,灵川松湖露营地,,广西桂林市灵川县青狮潭旅游度假区附近,,27.0,
31,龙脊大寨,4.6,桂林市龙胜各族自治县龙脊景区金坑梯田,'1、去看梯田，真是太美了，一片绿油油',104.0,4.6
32,如意峰一锋越野山地车俱乐部,,桂林市阳朔县高田镇蒙村村委临G321国道旁,'1、来了几次阳朔，周边的景区都已经玩了几圈，在偶然的时间看了几眼马路边就让我发现了这个地方，让我们很是惊喜，有专业的教练指导与保驾护航，让我们体验了一把现实版的速度与激情🏎️🏎️🏎️场地有很多专业赛道的路线，全长有10公里左右，可以游玩一个小时左右，还能漂移，非常适合我们这种喜欢户外运动的人🤞🤞🤞最重要的是，全程还帮我们录视频，拍照📸',9.0,3.7
33,非遗桂林石画体验,,桂林市秀峰区东西巷兰井巷GB136传碕店,,16.0,
34,侯山,4.3,广西壮族自治区桂林市临桂区,'1、桂林市区最高的山，登上山顶，真的能领悟到一览众山小这句语的真缔，登山要看好天气，雨天雾多，上去能见度不高，花一个多小时爬上就有点冤了，所以要晴天上山才好',5.0,2.4
35,大碧头国际旅游度假区4A,4.0,桂林市全州县庙头镇李家村委,'1、值得去游玩',83.0,5.0
36,乐满地矿温泉,4.7,桂林市兴安县志玲路,'1、值得大家去，环境很好，很幽静，房间很干净，服务态度又好，车位又多，消费又得体，有温泉，又有泳池，晚上还有表演，超赞，赞，赞',13.0,2.3
37,江屋村,,广西壮族自治区桂林市全州县全州镇大贵村委会辖区,,32.0,
38,浪石村,4.6,桂林市阳朔县杨堤乡,'1、漓江段精华就是杨堤到九马了，当然也可以直接到兴坪或者阳朔。确实名不虚传。奇峰怪石拔地而起，山不高，却都是平地起山峦，讲究一个突兀与奇绝。漓江上还有散落零星的渔民乘竹筏撒网捕鱼，相映在山水之间，确实韵味悠长，如一首漓江壮歌，悠扬洒落。20元人民币的图案景色都成了摆拍点了，相比于整个漓江段的造化神工，也是小儿科。',6.0,2.6
39,漓江五星游船,4.8,广西壮族自治区桂林市竹江码头,'1、桂林山水看漓江。漓江竹筏，享誉中外。步不仅吸引了不少的外国人，国内游客更是上至六十老母，下至三岁孩童。真的是很有意思。值得回味。',13.0,5.9
40,金水岩,3.7,桂林市阳朔县十里画廊,'1、金水岩是阳朔的一个溶洞景点景区独特，有较强的观赏性。【景色】溶洞式景色，以西游和神话故事为情景，【趣味】有独创性之处，【性价比】较好。景点门票七十元，还行！只是景区的商业气息太浓！',211.0,5.7
41,阳朔狗蛋露营地,4.9,广西壮族自治区桂林市阳朔兴坪古镇大河背村,'1、阳朔狗蛋露营地景色超美，趣味性强，服务周到细致，性价比超高的。',18.0,5.3
42,丹桂岩洞穴遗址,,七星区月牙山襟江阁西,'1、20230312上午：1、“丹桂岩遗址”位于4A景区“七星景区”内。七星景区是漓江东岸的山水溶洞风光，是桂林市最大的综合性公园，历史悠久始于隋唐，留有徐霞客、邓小平、邓颖超、粟裕、李岚清、吴邦国、李铁映、十世班禅、西哈努克、克林顿等名人足迹，森林覆盖率84%堪称桂林绿肺，并占据桂林古续八景中的两处，即“栖霞真境”和“壶山赤霞”。七星景区所在的“七星山”由“普陀山”的4峰（天枢、天璇、天玑、天权）和“月牙山”的3峰（玉衡、开阳、瑶光）组成，7座山峰以北斗七星分别命名，分布形状犹如北斗七星，七星山由此得名。①地址：桂林市七星区七星路1号。②交通：公交直达，开车很好停。③旺季：无。\t④用时：6小时。2、月牙山南麓的丹桂岩遗址，距今4000-1万年的新石器时代人类遗址，文物已迁走只留一座坑洞。',1.0,2.6
43,桂林融创欢乐部落,4.4,桂林市雁山区大雁路398号,'1、还不错值得一去',57.0,5.2
44,龙脊大瑶寨梯田观景区,,桂林市龙胜各族自治县552乡道321国道路口附近龙脊梯田风景名胜区内,'1、梯田是在在丘陵山坡地上沿等高线方向修筑的条状阶台式或波浪式断面的田地。是治理坡耕地水土流失的有效措施，蓄水、保土、增产作用十分显著。梯田的通风透光条件较好，有利于作物生长和营养物质的积累。按田面坡度不同而有水平梯田、坡式梯田、复式梯田等。国内广西，云南，贵州最大，最多。',1.0,3.6
45,隐山石刻,,广西壮族自治区桂林市西山公园,,11.0,
46,桂林十大名山水上游,4.0,桂林市安新北路三号安新洲码头,'1、这是初到桂林旅游的团队客人必须参加的游览项目，泛舟漓江，体验山水甲天下的桂林风光，一路山环水抱，如在画中游，价格相对比较贵。',81.0,3.5
47,阳朔印象刘三姐剧场,,桂林市阳朔县东街田园路1号,'1、《印象·刘三姐》是大型桂林山水实景演出《印象·刘三姐》是中国·漓江山水剧场之核心工程。全国第一部“山水实景演出”，系张艺谋导游的印象系列第一部作品。',1.0,4.6
48,七星户外攀岩拓展场,3.8,广西壮族自治区桂林市七星区龙隐路26号,'1、在桂林与阳朔的个别山岩上都能看到攀岩活动，真羡慕与佩服那些攀岩者，好有胆量啊！',25.0,2.3
49,恭城武庙,4.3,桂林市恭城瑶族自治县拱辰西路8号,'1、去广西旅游，这一站来到了恭城，参观一下市区里面的文武庙。这里武庙，始建于明朝万历31年，并于清朝康熙和同治年间重修过，这里是为了纪念三国名将关羽的寺庙。这里设有前殿、正殿、后殿、戏台、雨亭和两侧的厢房。武庙这里的工作人员比较少，如果需要讲解的话，可能要到文庙那边才能找上人。',19.0,3.5
50,芷欣园世纪花海,4.3,广西壮族自治区桂林市永福县水洞头,'1、芷欣园世纪花海花的海洋景色很美',23.0,2.5
51,月亮村,4.2,桂林市阳朔县高田镇历村,'1、十里画廊被交通管制后，这段风景比以前好了很多，人少，车少，景色回归了古朴的风貌，路边的旅店和餐厅也安静了很多，春天适合来此踏青！',9.0,2.6
52,漓江四星游船,4.0,广西壮族自治区桂林市阳朔县竹江码头,'1、挺不错 没有其他点评里面服务员说菜不够吃推销额外菜的情况 几个关键景点 仙蝠迎宾 九马画山 黄布倒影 20元人民币背景都有讲解 最后17公里过完兴坪之后会卖一些文创产品 也没有强制 午餐也还不错 推荐来,7.7,
53,大碧头房车露营地,,广西省桂林市全州县庙头镇大碧头村,,82.0,
54,龙泉山庄,, 321国道附近 ,,21.0,
55,桂林乐满地主题乐园碰碰车,,桂林市兴安县志玲路乐满地景区内,'1、哇真是太棒了，不错的地方！哈哈',71.0,2.5
56,桂林观石堂鸡血玉博物馆,1.8,桂林市芦笛路停车场对面,'1、20230311下午：1、“桂林观石堂鸡血玉博物馆”位于4A景区“芦笛岩”是国内著名的喀斯特溶洞，洞内仙宫秘境和洞外山水田园，让人能同时身临其境得感受到桂林山水的里里外外，被誉为“大自然艺术之宮”，景区历史悠久，自唐代起便有文人墨客探洞，留有自唐贞元八年（792年）以来的历代壁画70多幅。近代开发的时间较早，是老版《西游记》电视剧中的“东海龙宫”和17集里的“芭蕉洞”、“摩云洞”的取景地，曾接待过美国前总统尼克松、卡特等诸多外宾，又称“国宾洞”。芦笛岩因洞口古时生长有一种可制作笛子的芦荻草而得名。①地址：桂林市秀峰区芦笛路1号。\t②交通：公交直达，开车也很好停。③旺季：无，但夏季去可避暑。\t④用时：2小时。⑤注意事项：洞内无信号，但有免费WiFi可连。2、桂林观石堂鸡血玉博物馆是与旅行社合作的跟团游购物点，我是散客不让我进，馆外的仿真鸡血玉装饰蛮有趣。',6.0,3.0
58,《山水间》演出,4.2,桂林市象山区平山北路33号瓦窑小镇山水间剧院,'1、带对象来看，因为之前去丽江看过表演非常震撼，然后给他安利，结果一开始十几分钟卖书画，我真是服了，瞬间感觉全无。后面的表演还行，比不上丽江的。',125.0,5.3
60,乐满地曼陀罗园,,桂林市兴安县志玲路乐满地主题乐园,,62.0,
61,龙胜各族自治县图书馆,,桂林市东园路2号,,15.0,
62,中华银行,3.0,桂林市灵川县漓江景区大圩古镇内,'1、国庆节出来旅游，来到了桂林灵川县的大圩古镇，在这里面有一些古建筑，这一个“中华银行”就是其中的一个，不过现在只能够在外面看外表，门已经关起来不能再进去了，旅客们都是在门口拍拍照而已，门面是粉刷修葺过的。',,1.3
63,大塘边村,,广西壮族自治区桂林市灵川县,1,71.0,
64,老人守苹果,4.3,漓江边上,'1、桂林山水甲天下，船游漓江精华线路，当然看这个山形还是需要一些想象力的，你觉得像那就是了。人在这如画美景中，像不像的有那么重要吗？',4.0,1.5
65,大榕树景区-刘三姐故居,3.8,广西壮族自治区桂林市阳朔县穿岩村大榕树景区内,'1、之前去阳朔攀岩的时候去过刘三姐故居嗯，感觉挺好的，一个地方走走看看很适合打卡',26.0,3.8
66,侗王夜宴,,桂林市阳朔县321国道旁阳朔天籁蝴蝶泉景区,'1、不错，好玩哦！儿子看得很开心！',13.0,3.3
67,燕莎滑翔伞飞行,3.9,广西省桂林市阳朔县山水大道燕莎热气球滑翔伞基地,'1、非常喜欢这个项目，价格比较偏高，时间太短了，下次还会继续玩这个。',21.0,5.1
68,龙脊梯田4A,4.0,桂林市龙胜各族自治县和平乡平安村,'1、2023年10月9号去的龙脊梯田金坑大寨。从阳朔打车过去，一路开到了金坑大寨的停车场，然后坐缆车上去。当天早晨从阳朔出来就一直在下小雨，一路上都在担心会不会今天持续下雨，影响观赏美景啊，没想到到了金坑大寨发现地面都是干的，小雨并没有影响。水稻黄了，梯田全部呈现金黄色。由于时不时的洒了一点蒙蒙细雨，所以天空遍布着乌云，山间云雾缭绕。拍照效果十分美丽。',4738.0,8.4
69,平口水库,,桂林市平乐县,,13.0,
70,阳朔公园-莫休烈士墓,,广西壮族自治区桂林市阳朔县阳朔镇叠翠路阳朔公园,,1.0,
71,遇见刘三姐,4.0,桂林市阳朔县西街桂花路4号,'1、遇见刘三姐是阳朔大型魔幻音乐剧。位于阳朔县西街桂花路4号。这边很多酒馆晚上很热闹。剧场演出购票230元起。通过传奇演绎向我门讲述了刘三姐的传奇一生和故事。',2.0,2.9
72,桂林融创水世界,4.2,桂林雁山区大雁路399号,'1、夜场人不多，设施就是老三样，绝的是漂流免费，但是要租游泳圈，单人20双人40，押金100，在哪里租的还只能在哪里退，在其他租赁点不行。融创也去了几个地方的，也就这里是要给钱漂流。',59.0,5.1
74,鹿寨香桥岩溶国家地质公园4A,4.0,柳州市鹿寨县中渡镇大兆村,'1、景色绝了，视觉享受满分，科普馆也不错，孩子看看挺好的！总之不亏，对了  物价超实惠，山上山下价格一致，味道很棒，九龙洞入口右侧大姐很热情，清补凉好吃😋，水果超甜。值得尝试，虽然天气很热但确实很棒。',337.0,6.6
75,刘三姐水上公园风景区,4.4,桂林市阳朔县刘三姐码头,'1、由于住在阳朔，晚上就去刘三姐景区观看的{印象刘三姐}的演出，演出的场景布局的很大，最远处将几百米外的山体照亮作为大背景，与现场的灯光秀一起组成大舞台。演出是俯视的角度，以人员众多的大场面和身上的灯饰构图，张艺谋的惯用手法。演绎的故事情节看不大清楚，基本都本吸引到灯光图案和群体性动作构图上去了',61.0,3.2
76,文化步行街,,广西壮族自治区桂林市七星区七星路79-36号,,1.0,
77,龙胜龙脊山,,541701 广西壮族自治区 龙胜各族自治县 和平乡平安村,,2.0,
78,民族之光,,桂林市阳朔县蟠桃路150号阳朔公园内,'1、“民族之光”是位于桂林阳朔公园内的一个雕塑，为纪念抗战时期当地的游击队而立，是一处免费开放的爱国主义教育基地，周边植被丰茂，环境清幽。',1.0,2.1
79,丹洲景区4A,4.0,柳州市三江县丹洲镇丹洲村,'1、好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好',163.0,6.2
80,民国桂林市政府旧址,,广西壮族自治区桂林市秀峰区榕湖北路15号,,1.0,
81,黑龙潭,,321国道,,16.0,
82,黄洛瑶寨,4.3,桂林市龙胜各族自治县和平乡平安村龙脊梯田景区内,'1、当地的寨子，体验不同的人文，还挺有意思',122.0,5.8
83,留公村,,桂林市阳朔县普益乡留公村,'1、留公村位于漓江下游岸边，属阳朔的普益乡，已有350多年的历史。在陆路交通不发达的过去，各类货物流通只能依靠漓江水路实现。因此，留公村在旧时曾经是商贾云集，商品交流的集散地。',2.0,2.1
84,龙井村风景区,3.6,桂林市全州县安和镇龙井村,'1、龙井村这是一个山清水秀的村庄，村民依龙井河而居，该河人称小九寨，河水清澈见底，民风纯朴，是一个值得去看看的好地方。【景色】',17.0,3.8
85,亲子公益图书馆,,中山北路722号附近,,13.0,
86,天行热气球自由飞基地,3.7,桂林市阳朔县福利镇渡头村,'1、第一次做热气球，景色很美，虽然刚刚起飞时有点下雨，但是一点不影响看美景，玩的很开心，车接车送，还有飞行证书留作纪念，这一趟值了。',3.0,3.6
87,平安壮族梯田,4.0,桂林市龙胜各族自治县和平乡平安村龙脊梯田平安壮族梯田观景区,'1、平安梯田，是龙脊梯田里很有名的景点。平安梯田景区不是很大，山也不是很高，半个小时左右就能到达山顶，俯瞰整个平安梯田，层层叠叠的梯田，非常壮观。壮寨里有特色美食，小吃，米饭，特色炒菜应有尽有。',47.0,4.0
88,曹邺读书岩,4.3,桂林市阳朔县城北路,'1、桂林的山都不适合爬，喀斯特地貌，所以就远远的观景吧！人多不要去！',10.0,1.9
89,阳朔电视塔,4.7,广西壮族自治区桂林市阳朔县阳朔镇武警路新西街大酒店西南400米,'1、阳朔的电视台的发射塔，在山上，可以爬上去看看，总体来说很不错。',55.0,4.3
90,龙颈河漂流,4.7,桂林市阳朔县大源林场,'1、体验感很好，没想到那么刺激！陡坡较多！孩子第一次玩，身高达到了，买了三张票，坐了一艘船。整体时间1小时多点。过程中岸边的工作人员很多，隔一段段就一个看着，很安全。',615.0,6.3
91,黄布滩,4.8,兴坪镇,'1、黄布滩位于阳朔兴坪游船码头对面，游客可以坐轮渡船到对岸，来回十块，在这里可以换个角度看“黄布倒影”景观，也可以光脚下水嬉戏。',4.0,2.5
92,临桂区文化广场,,广西壮族自治区桂林市临桂区会元路167号,,10.0,
93,多耶古寨蛇王李,3.3,桂林市雁山区乐园路大埠乡人民政府东北侧约220米,'1、多耶景区侗族文化底蕴深厚，侗族风情原始、古朴。好客的侗家人有一种叫“月也”的活动。这是村寨与村寨之间的大型社交活动，甲寨举寨前往乙寨做客，当客人临进寨边时，主寨的姑娘们早已在寨门前摆起了拦路凳，唱起栏路歌。客人闻歌而对，一唱一应，几个回合下来，喝了拦路酒，才肯放客人进寨。寨中男人吹芦笙放铁炮鞭炮，敲锣打鼓将客人迎进寨子的鼓楼内。人们聚居在鼓楼旁的歌坪上，踩起歌堂，在芦笙曲中进入歌坪，手拉手围成男外女内两圈，边舞边唱，是为“多耶”。',29.0,2.5
94,福利古镇,4.2,桂林市阳朔县福利镇,'1、福利古镇位于广西阳朔县，有1000多年历史，山水奇丽，文化独特。该镇三面环山，一面临水，素有“三山环古镇，一水抱绿州”之雅誉。',42.0,4.5
95,城南商业街,,广西壮族自治区桂林市象山区崇信路,,10.0,
96,阳朔山水遇农园景区,,桂林市阳朔县白沙镇旧县村,'1、很悠闲的景区，感受田园气息，很舒服',1.0,3.0
97,桂林市白云观,,广西壮族自治区桂林市叠彩区X085(靖江路),'1、桂林市白云观座落在风景秀丽的尧山天赐田，秦时建尧帝庙，尧山之名由此而来，白云观建在尧庙旧址上，观前有旱涝保收的“天赐田”，天赐田相传为尧帝所赐的香火田------风景秀丽，古朴高雅，道教圣地，惠泽人间！',2.0,2.6
98,广汇朝街,,芦笛路53号桂林郡103栋附近,,10.0,
99,好哒呀野趣农场（营地）,4.3,广西壮族自治区桂林市阳朔县兴坪镇大头山,'1、哇真是太棒了，很喜欢的！不错呀！',70.0,2.9
100,创业广场,,桂林市灵川县衡友线与金龙路交叉路口往西约150米,,16.0,
101,《印象刘三姐》山水实景演出,4.2,桂林市阳朔县田园路1号中国漓江山水剧场,'1、非常好看，露天表演，那晚的月光配背景真的很美，手机拍不出效果来，毕竟离中秋节过后不久。表演的小姐姐很漂亮，哈哈哈，非常值得推荐，可以不用提前买票，当天买都可以，听外面黄牛说只要160一张，携程要280',11635.0,8.3
102,广西科举文化陈列馆,,桂林市叠彩区王城景区广西贡院,'1、广西科举贡院位于独秀峰王城景区内，整个地方不大，但是景色还是相当不错的。在这里游客可以身临其境地感受一下古代科举制度的发展及演变，给自己也增长了不少的见识。在这里有关于科举的情景表演，娱乐一下也是很不错的。在这里你还能参与古代科举考试，坐在一间间的小黑屋里，用毛笔答题，虽然考试题目不多，只有五道，但是感觉还是挺有趣的。事后才知道，其实考卷的答案在桌子旁边都是，可我还是积极遵守考场的规则，一点也没有作弊。友情提示:我还带回了一张空白的试卷，有兴趣的朋友们可以来我家也考上一回。',2.0,1.9
103,百花剧场,,广西壮族自治区桂林市秀峰区依仁路9号,,16.0,
104,北斗桥,4.7,桂林秀峰区榕湖,'1、20230311晚上：1、“北斗桥”位于5A景区“两江四湖•象山”内。两江四湖•象山是桂林市闻名于世的地标式山水风光名胜，是来桂林必打卡的网红景点，其水系像血液般贯穿市区，城市与山水融为一体，属于开放式景区，游走于桂林街头便不知不觉徜徉在碧水翠山之间。景区分为“两江四湖”和“象鼻山”两大区块，入园均免费，前者适合夜景，后者适合白天游览。①地址：桂林市象山区。②交通：公交直达，开车很好停。③旺季：无。\t④用时：2小时。2、步行游览两江四湖免费，但最佳游览方式是乘坐游船，游船分白天和晚上两个时段，白天价格90元比夜游180多元的便宜了一半，当然视觉效果会逊色不少，我在白天和晚上各体验了一次。游船为单层，椅子下方有救生衣，船上配有厕所不过只能上小便。两江具体指“漓江”和“桃花江”；四湖指“杉湖”、“榕湖”、“桂湖”、“木龙湖”；游船路线为：日月湾码头-杉湖-榕湖-桂湖-木龙湖-（原路返回）榕湖-桃花江-文昌桥码头，全程60-70分钟，起点和终点相隔15分钟脚程。日月湾码头位于杉湖东岸，夜幕下可以遥望对岸的桂林地标建筑、中国名塔“日月双塔”，它由“日塔”和“月塔”组成，合起来是“明”，寓意“日月同辉、桂林明天会更好”，是网红打卡点，穿民族服饰的美女们亦是一道靓丽的风景线，排着队等候拍照，观景台上有卖唱歌手，为湖边开启一场视听盛宴。3、北斗桥”始建于20世纪40年代，重建于1979年，又称“九曲桥”，是广西省最长的汉白玉桥，参照夜空中北斗七星的形状而建',42.0,2.4
105,十里画廊,4.2,桂林市阳朔县321国道十里画廊,'1、不要进景区! 租一个电瓶车/徒步，在遇龙河旁边的小道和其他公路走就好了。景区性价比除了溶洞都超低，没有意思 (尤其是榕树景区可千万别去)。不考虑被景区坑的前提下，我给满分。景色美不胜收，趣味高，自由度高。',2051.0,7.7
106,骝马山,,桂林市秀峰区两江四湖内,,10.0,
107,全州体育馆,,桂林市全州县桂北大道附近,'1、全州体育活动中心在城北新城区，建设好漂亮！',100.0,1.8
108,兴坪弯寨山地车基地,4.0,广西省桂林市阳朔县兴坪镇弯寨村,'1、爬山涉水，好玩刺激，游玩时间约1小时。',2.0,4.1
109,天下第一长发村,4.0,广西壮族自治区桂林市龙胜各族自治县龙脊梯田风景区内,'1、天下第一长发村位于广西龙胜县和平乡黄洛瑶寨，村里有六十多位头发在一点四米以上的女性村民。游客到访专门要看她们在自家阁楼上做梳头表演，展示其又黑又长的秀发。',21.0,5.3
111,芦笛岩4A,4.6,桂林市芦笛路1号,'1、没想到洞内空间挺大的。虽说芦笛岩没新开发的几个洞那么知名了，但交通便利，近市区。洞内景色也十分漂亮。有个小洞潜龙渊，另加了钱才能进。虽然洞小，但里面的灯光搭配更美，服务人员很热情，照相，介绍都很好。是一次不错体验。',9706.0,7.7
112,桂林市中央公园,4.6,临桂镇西城大道,'1、免费开放的中央公园，有山有水很不错！',55.0,3.1
