content,creationTime,score,anonymousFlag,plusAvailable,location,nickname,productColor
mini7这款很不错 性价比非常高 主打一个便宜 买来练手准没错 很好用 拍照速度很快 手动调光很准 感觉比mini11值,2023-10-19 11:14:36,5,1,201,吉林,智***e,mini7+蓝
拍立得颜值很高 外观很可爱 还送了保护壳 操作简单 很容易上手 拍出来的照片也很有质感 性价比很高 非常实用 非常好的购物体验👍🏻👍🏻,2023-10-16 17:18:25,5,1,201,福建,a***d,mini7+白
到手超级美丽的7+，心动拍立得好久终于下手了！送货速度很快，性价比很高，就是赠品的壳有裂痕。照片特别有胶片感，我也特别喜欢！！,2023-10-20 17:56:24,5,1,0,福建,Y***e,mini7+白
成片这些就不需要多说了，氛围感拉满，白颜色相机也很好看，外带出门简直绝了，走在路上就是焦点，快递速度也很快！,2023-10-10 10:59:34,5,1,201,山西,烨***桦,mini7+白
送女朋友的，拍照超级有感觉，发货很快，送的东西也很多，立马就出照片的感觉是其他所有拍照工具不能比的，太妙了，记录及时的快乐。,2023-10-17 18:08:03,5,null,201,重庆,正***譚,mini7+蓝
"宝贝收到了!太棒了,比想象的还要精致!第一次在网购这么高兴，竟然才花这点钱就买到了这么好的，用四个字来形容：物美价廉!店主服务态度特好",2023-10-17 15:08:12,5,null,201,甘肃,L***e,mini7+白
当到货就迫不及待打开了，果真没有让我失望，满意的一次购物，颜值是真的没话说，材质很好，物美价廉，大小合适，是理想中的产品，质量不错，物流也很快，值得点赞！,2023-10-17 15:09:18,5,null,201,甘肃,L***e,mini7+白
京东物流一如往常般地迅速，这款是我第二次买的拍立得啦，是买个朋友的礼物，他都到了很喜欢，蓝色也很好看，爱了爱了 ，下次回继续回购,2023-10-19 23:28:04,5,1,201,浙江,似***骜,mini7+蓝
很满意，做工很好，物流快，客服很棒，点赞是理想中的产品❤，质量不错，物流也很快，值得点赞！用了觉得很不错，商品质量好，发货也挺快的，总之就是很赞了东西比我想象中的还要完美，十分给力，值得入手宝贝收到，物流很快，描述相符，比较满意，好,2023-10-08 01:48:21,5,1,201,四川,d***c,mini7+蓝
商品包装很好，配送速度快，购买第二天就拿到手里了，而且配送的东西也很多。大品牌值得信赖，成像清晰，包装精美，下次有需要还会来的。,2023-10-07 22:02:14,5,1,201,陕西,j***U,mini7+白
"价格超优惠，性能也非常棒，完美的一次购物宝贝收到了，和描述一样，很喜欢趁着活动入手划算，发货快，包装得好，非常不错，全新体验，赞赞赞!趁着优惠，赶紧入手，是正品，包装也非常的好，没有破损，质量也是没得说,棒",2023-10-16 12:05:30,5,1,201,甘肃,L***e,mini7+白
还行  总体来说还可以,2021-10-11 16:58:14,3,1,103,null,想***-,【新升级】mini7+白
太喜欢这个颜色了，送给朋友的生日礼物，下次再买这个颜色！像素清晰，充电也很快，小巧玲珑，方便携带，很不错，已经推荐给身边的朋友了,2023-09-23 21:30:02,5,1,201,江西,山***遇,mini7+白
质量非常好，送朋友很新，成像效果很不错，反应速度快，操作难度很小，做工质量非常好，外观设计风格非常好看，特点很多，非常喜欢,2023-09-22 11:58:55,5,1,201,湖北,致***样,mini7+白
成像效果：拍完没一会会照片就显影出来啦，好喜欢哦操作难易：按照说明书一步一步来超级简单外形外观：太喜欢啦，外面还可以套个保护套，贴上贴纸，太爱啦其他特色：就是说还是需要在好好研究一番，拍出更好看的图。yep,2023-10-12 11:39:04,5,1,201,广东,U***a,mini7+白
整体还不错哟，拿来作为生日礼物送给闺蜜，很喜欢，也很出片！操作也很方便！成像效果：很清晰反应速度：很快操作难易：操作起来很方便外形外观：小巧可爱！方便携带其他特色：礼盒包装正好！,2023-10-09 10:05:12,5,0,201,海外,j***e,mini7+白
外观小巧很可爱，拍照清晰，成像好，拍出来的照片很复古，非常有感觉，包装有详细的说明，很快就能上手。拿在手上也很轻，很舒服。快递也很快，包装也很好。,2023-09-23 21:28:34,5,null,201,甘肃,L***e,mini7+白
拍出来的照片都特别好看，，而且也很容易上手。买来还没几天就拍了特别多的照片了，都很好看，朋友们也很喜欢。！！太不错了。好评,2023-10-13 19:25:51,5,1,201,甘肃,不***卡,mini7+白
货收到后就拆开用了，质量很好，东西和官网买的没区别！宝贝很好，不得不说，客服态度也太好了吧！整体来说，还是很好的，非常值得再次回购(*^__^*)非常满意的一次购物，物有所值，比实体店里实惠多了！精挑细选很久，最后决定买这一款，做工非常精致，值得购买！,2023-10-20 12:40:17,5,null,201,甘肃,L***e,mini7+白
很满意，做工很好，物流快，客服很棒，点赞是理想中的产品，质量不错，物流也很快，值得点赞！用了觉得很不错，商品质量好，发货也挺快的，总之就是很赞了东西比我想象中的还要完美，十分给力，值得入手宝贝收到，物流很快，描述相符，比较满意,2023-10-08 01:47:11,5,1,201,四川,d***c,mini7+白
质量非常好，成像效果很不错，反应速度很好，操作难度很好，做工质量很不错，外观设计风格很好看，特色很好看，送朋友很喜欢，非常好。,2023-09-30 11:44:52,5,1,201,江西,安***隅,mini7+白
拍立得mini7+新手小白的真实感受一直都很喜欢记录生活很想拥有属于自己的拍立得，经过多家对比，也依照买新不买旧的原则我选择了富士拍立得mini7+。从颜色质感外型美观.上来说真的很小巧可爱整体是磨砂的很上档次，整体评价很喜欢，小巧可爱又好看产品质量还是很不错，操作也很简单反应速度赞，出片快成像效果赞，效果很nice的，会有自动滤镜的感觉,2023-10-13 12:11:54,5,1,201,河南,你***呀,mini7+白
成像效果很好好，反应速度灵敏，操作难度很小，非常容易上手，做工质量非常精美，送朋友很喜欢，外观很好看，特点非常多，非常喜欢。,2023-10-15 22:09:44,5,1,0,湖北,j***T,mini7+白
超级好看，外表很好看，相纸还没有到，不知道拍出来怎么样。还送了相册，贴纸，电池这些，肩带，保护壳这些都用，很喜欢，价格优惠。好看到我的心巴巴上去了。,2023-10-13 01:51:28,5,1,201,江西,j***F,mini7+白
成像效果：按完快门键后，到图像清晰，大概3-5分钟吧，我说的是冬天室内20度左右。反应速度：反映速度还可以吧，第一次用，不太清楚呀操作难易：操作简单容易上手。做工质量：没得问题，非常好。外形外观：闺女很喜欢。,2023-10-08 10:05:16,5,0,201,海外,玖***_,mini7+白
"东西质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物",2023-10-17 11:33:51,5,1,201,江苏,洪***璐,mini7+白
好用好看 颜值高 包装也不错 还是值得信赖的 喜欢 会经常出去用的 所以后面又给朋友买了一个 当作生日礼物吧 希望她会喜欢,2023-10-16 18:49:15,5,1,201,湖南,j***P,mini7+白
特别好 背出去还可以当作饰品 作为穿搭的一环 成像清晰 值得购买 爸爸妈妈也觉得不错 我狂拍一通 终于可以有自己的拍立得了,2023-10-16 18:56:30,5,null,201,湖南,j***P,mini7+白
这个相机没话说，太好了，就是相纸太贵了，如果以后相纸便宜了会更好，不太耐脏，幸好送了一个壳，但是原来的比较圆润，镜头拉出来就可以直接拍，不错,2023-09-25 11:33:17,5,1,201,山东,j***v,mini7+白
成像效果：暂时就拍了一张看着还可以反应速度：比较快操作难易：傻瓜操作 孩子自己就能操做得了做工质量：很可爱还不多外形外观：孩子喜欢v也符合孩子的审美其他特色：就是纸张确实是有一些小贵,2023-10-14 12:30:29,5,1,201,山东,j***T,mini7+蓝
给女朋友买的，她非常满意，值得大家购买！！！就是胶片有点贵，希望后面能降价！！！拍出来还行吧，值得拍一些有纪念意义的事！！,2023-10-08 12:16:27,5,1,201,陕西,来***2,mini7+白
这个相机很好，就是相纸太贵了，别的方面的话没什么好说的，送的配件包也非常的完美，相册，保护壳，绳子都有，不过好像数量有限，先到先得,2023-10-20 13:41:26,5,1,201,山东,j***v,mini7+白
相纸太贵了，相机没问题。送的配件包很完美，相册，保护壳，绳子都有，不过好像数量有限，先到先得。相纸建议一次买多一点还便宜很多,2023-10-20 13:42:32,5,1,201,山东,j***v,mini7+白
东西很好，物流很快，卖家态度也很好，这个是买来给朋友的生日礼物，她很喜欢，很适合爱拍照的女生。拍立得真的很有氛围感！真的超爱！,2023-10-15 10:06:27,5,1,0,湖南,j***0,mini7+白
都挺好的 相纸要单独买,2022-11-20 01:36:27,3,1,0,null,小***了,【新升级】mini7+白
真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物！成像效果：还没开始使用的，机器肯定没问题。操作难易：感觉有点小复杂，后续在追评,2023-09-21 12:14:02,5,1,201,重庆,布***鸟,mini7+白
成像效果：很清晰的成像反应速度：反应也超级快操作难易：很简单  一拍即得我一个新手捣鼓了一会儿就会了做工质量：质量不错外形外观：外观特别好看 是我喜欢的颜色哈哈哈哈哈哈哈哈哈哈,2023-08-23 08:43:05,5,1,201,广东,p***h,mini7+白
买给女儿玩的，很喜欢，等相纸到了就可以试手拍照了，相机质量很好，本来想买粉色的，没有库存但白色也很好看，手感也很不错，赞,2023-08-01 12:55:08,5,1,201,广东,零***8,mini7+白
做工质量：做工拿到手一看就是非常可以的外形外观：外型很可爱，送朋友的，她很喜欢操作难易：操作起来也不很容易，拍立得操作都很简单成像效果：即拍即出片，清晰度也不错反应速度：速度挺快的想买有一段时间了，中间有一段时间还断货，看到有货就下单了，感觉是很好的记录生活美好瞬间的工具！,2023-07-23 13:12:00,5,1,201,江苏,j***U,mini7+蓝
很满意👍，做工很好，物流快，客服很棒，点赞是理想中的产品💖，质量不错，物流也很快，值得点赞！用了觉得很不错，商品质量好，发货也挺快的，总之就是很赞了东西比我想象中的还要完美，十分给力，值得入手宝贝收到，物流很快，描述相符，比较满意，好评，推荐物超所值，非常满意，期间有点小插曲，店家细致周到的服务让人很感动，祝生意兴隆，还会再来很快就到了，全新正品👑，包装很仔细，没有问题,2023-09-11 21:19:20,5,1,201,吉林,囍***兔,mini7+白
mini7相机很好 出门必带着拍照片 很方便 拍出来的照片也很好看 风格也很喜欢 主要是拍照简单 非常方便 还很轻便 适合携带,2023-09-20 11:45:39,5,1,201,吉林,j***z,mini7+白
超级满意哦，太喜欢了，颜值好高，物流也很快，太爱了啊啊啊啊，背出去别人都夸还要链接，功能也很好，拍得很好看，太喜欢了啊啊啊,2023-09-11 16:51:04,5,1,201,广东,爪***嘀,mini7+白
大小合适，做工精良，出口品质，最满意的一次淘货，很喜欢，下次会再来！值得购买的产品，做工非常精细，比想象中的好，推荐大家尝试。质量没得说，跟专卖店一样，特别特别喜欢，而且价格优惠。真的棒！质量很好，做工细致，包裹很严实，快递服务态度好，绝对好评！正品，棒棒哒，价格很优惠，总而言之挺好的，还会再买好产品、好品质、好服务，宝贝确实值这个价钱，在这给商家点个赞👍,2023-08-13 22:04:29,5,1,201,山东,d***r,mini7+白
相机非常好用出门我都带着他拍照片，可以立马出来和朋友分享，而且颜值也非常好看，我朋友看了说也想买一个我们两个都非常喜欢这一款相机，好评,2023-08-25 13:38:16,5,1,201,广东,l***2,mini7+白
除了没有自拍镜都挺好的，选mini7还是想自己调节模式，色调很棒，非常喜欢富士，闪光灯不能关闭也挺可惜的，有机会想买个mini90,2023-09-04 00:17:50,5,1,201,广东,音***音,mini7+白
这个迷你7非常的好看，我就喜欢白色的，所以买了一台白色的mini七拍出来的照片的质量也非常好，会继续购买的非常推荐这一款，喜欢的都来购买吧,2023-08-25 13:45:19,5,1,201,广东,l***2,mini7+白
买来送女朋友的，给女朋友送得七夕礼物，快递小哥很给力，第二天就送到了，包装很好，东西也很漂亮，还送了保护壳，和一些配件，东西不错，很满意,2023-08-24 00:29:34,5,1,201,辽宁,拓***拓,mini7+蓝
第二次购买啦。上次送给朋友，她超级喜欢。这次又来回购，送给另一位朋友，果不其然，她也很喜欢，这款真的很适合作为礼物。朋友说要用它抓住夏天的尾巴，留下今年夏末美丽的景色。,2023-08-26 20:16:12,5,1,201,江苏,j***s,mini7+蓝
不错不错，蓝色颜值很高，拍立得的色调真的是很绝，就是相纸现在是真的很难买啊，希望可以抢到，冲，拍立得还是很方便的！期待下次出去玩！,2023-08-08 14:50:26,5,1,201,安徽,慕***服,mini7+蓝
奶呼呼的颜值巨高，超级满意，物流也很快，店家服务也很好，终于下手了，果然没有让我失望，超级满意，颜值超级超级赞，啊啊啊啊喜欢,2023-09-11 16:49:24,5,1,201,广东,爪***嘀,mini7+白
给师姐买的毕业礼物，她特别喜欢，即拍即取很方便，正好可以毕业旅行的时候用，除了相纸确实不便宜别的没毛病，非常适合当礼物或者自用,2023-08-08 12:31:06,5,1,201,山西,j***s,mini7+白
非常可爱 还有粉粉的赠品 非常喜欢 而去物流很快 但我还没有开始用 因为相纸还没有到货 这次的购买体验非常好👍 客服的服务态度也很不错,2023-08-07 15:38:21,5,1,0,广东,j***y,mini7+白
颜色比较好看，粉色和白色的搭配也很合适，送给小朋友的生日礼物的，很适合拍照，选正确了模式拍照效果还不错。排的时候间隔80-1.2米合适,2023-07-30 23:44:59,5,1,201,四川,z***o,mini7+白
谁懂啊我真的很喜欢拍立得拍照之前朋友和我一起拍的拍照，我才第一次接触拍立得，我真的好喜欢拍出来效果决战，而且也是日本公司产的，我觉得拍立得是一个非常伟大的发明，因为他真的是太好玩了,2023-09-18 16:05:17,5,1,0,广东,不***鲸,mini7+蓝
上次闺蜜过生日，买了送给她，她很喜欢；这次是买来给我的伴娘们做伴手礼的，我拆开看了其中一个，很可爱，很轻，她们肯定也喜欢～,2023-08-18 12:43:52,5,1,203,湖北,席***厨,mini7+白
马上快七夕节了，京东自营店的拍立得相机好全啊，价格还很实惠！不溢价，库存充足，可以任性买买买，真是好喜欢😻，真想每一款都抱回家呀。,2023-08-21 10:51:39,5,1,201,河南,郑***华,mini7+蓝
真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物简直太好用了，只能用完美来形容！强烈推荐！是理想中的产品，质量不错，物流也很快，值得点赞宝贝与描述基本一致，发货很快，值得一买🉑宝贝收到了，很惊喜✨，设计合理，时尚大方，继续关注，以后会回购的❥❥❥🎁非常漂亮，做工精细，颜值担当，非常方便，🔮喜欢的朋友可以下手！很满意👍，做工很好，物流快，客服很棒，点赞🎁宝贝收到了，颜色很好看，质感也很好，样子简单！🤩是我想要的！！下次还会再来！质量没得说，跟专卖店一样，特别特别喜欢，而且价格优惠,2023-08-29 20:37:15,5,1,201,吉林,囍***兔,mini7+白
真的太漂亮了这一款，从京东物流开始说，物流极快，对产品的保护也非常到位。成像效果：试了一下，照片成像很快而且非常清晰，很有我要的那种感觉。反应速度：按下快门清脆有力，反应速度很快，这种机械之间的配合非常让人舒服。操作难易：很好上手，说明书也讲的很清楚，操作便捷。做工质量：质感真的非常抗打，小巧玲珑拿在手上非常舒服！,2023-09-11 21:12:48,5,1,201,陕西,S***铖,mini7+白
非常好看，非常喜欢蓝色的用起来非常方便立马拍立马就会出相片出门必备。非常喜欢这个颜色，希望能够送20张相纸，颜值在线。会继续购买的。,2023-08-25 13:32:19,5,1,201,广东,l***2,mini7+蓝
在七夕节前终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的!掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好!不得不得竖起大拇指。下次需要的时候我还会再来的!不过不得不说相纸是真的贵啊，而且还经常缺货，还是建议直接买官方的40张相纸那一套。,2023-08-24 18:02:05,5,1,103,四川,S***r,mini7+白
外观小巧很可爱，拍照清晰，成像好，拍出来的照片很复古，非常有感觉，包装有详细的说明，很快就能上手。拿在手上也很轻，很舒服。快递也很快，包装也很好。,2023-09-20 22:06:22,5,1,201,重庆,青***豆,mini7+白
一次买了两单，分别评价一下第一京东物流很快，服务态度很好外形外观：这个颜色特别可爱，彩色很有高级感，很喜欢，快门粉色很搭配。做工质量：拿在手上是有一定分量的，材料做工都是很实在的，小小的机器，大大的能量。操作难易：很好操作，有说明书，特别好上手，很值得购买！,2023-09-11 21:17:37,5,1,201,陕西,S***铖,mini7+白
非常喜欢拍立得的这一款相机，蓝色的非常好看，从小我就喜欢蓝色看到这个蓝色的相机，我立马就买了，希望再出一款灰色的，我也很喜欢灰色。,2023-08-25 13:36:14,5,1,201,广东,l***2,mini7+蓝
mini7是很不错的 画面成像质量好 手动调光没有废片 出片速度很快 虽然说手动调光 但是也没有变得麻烦 反而是很好用的,2023-09-20 11:43:19,5,1,201,吉林,j***z,mini7+白
精致小巧，颜色是老婆喜欢的颜色。如果能送一张底片就好了。第一次买拍立得，效果还需要买了底片才知道。送的配套很多，省的另外去买了。,2023-08-23 08:10:32,5,1,0,天津,高***8,mini7+蓝
好看的 配件盒也都ok 挺好的 买来送给侄女的生日礼物 加两盒相纸的礼盒套装也很划算 毕竟 相纸超级难买的！！很好看哦 侄女也很喜欢！！,2023-08-24 19:07:35,5,1,201,湖北,u***5,mini7+白
白色的相机非常好看，非常喜欢这一款拍立得mini七，买了走在大街上很显眼，这个白色的mini七我很喜欢，再攒点钱，我下次买迷你12。,2023-08-25 13:40:03,5,1,201,广东,l***2,mini7+白
超级满意啊啊啊啊啊，终于入手了，太爱了，很满意很满意，物流也很快，店家服务也很好，大赞，同事都在夸，颜值也很高，太满意了,2023-09-11 16:48:19,5,1,201,广东,爪***嘀,mini7+白
mini7很好看 性价比很高 拍出来照片很满意 没有废片 画面质量也很好看 很符合审美 配件盒东西很全 就是没相纸 不然更好了,2023-09-20 11:39:22,5,1,201,吉林,j***z,mini7+白
孩子给朋友买的，用着太好太好了～～～样子可爱，朋友超喜欢，给同事推荐了，同事在选购中～～～希望店家多搞优惠活动，同学朋友超喜欢,2023-09-07 17:40:47,5,1,201,辽宁,j***7,mini7+白
物流很快，太满意了，颜值很高，奶呼呼的小可爱，店家服务态度也很好，超级满意的一次购物，同事都夸，入手不亏，太赞太赞太喜欢啦,2023-09-11 16:51:52,5,1,201,广东,爪***嘀,mini7+白
朋友看到我买的拍立得相机mini 7+蓝色，非要让我帮她买一台，她喜欢的不得了！我也很喜欢😘清爽的蓝色让人心情愉悦😁,2023-08-21 10:57:24,5,1,201,河南,郑***华,mini7+蓝
白色的拍立得mini七非常的好看，我前年买了一台，现在又买了一台，我把之前的那一台送给了弟弟，他也非常喜欢，过了年再买一台mini 12非常喜欢这一款。,2023-08-25 13:42:23,5,1,201,广东,l***2,mini7+白
1. 对于产品品质和服务满意的评价：非常满意，质量很好，和卖家描述的一样，服务态度非常好，发货非常快，推荐大家购买！非常好的购物体验，卖家态度非常好，发货很及时，产品质量也非常好！非常感谢卖家的耐心解答和服务，宝贝收到后很惊喜，质量很好，非常值得推荐！2. 对于购买体验和配送服务满意的评价：非常愉快的购物体验，宝贝很喜欢，配送也很快，买到了满意的宝贝！赞，物流很快，产品很喜欢，卖家服务非常好，有问必答！非常棒的购物体验，卖家服务周到，配送速度飞快，产品质量也没话说，下次还来购买！,2023-08-05 10:41:12,5,1,201,河南,r***茶,mini7+蓝
性价比最高的拍立得啦，要拍好的话需要一点点技术的，不过拍出来的好看的话满满的成就感，哈哈哈，主要是买来送给我小妹的，这小屁孩真的是，追求真高。,2023-08-07 17:11:02,5,1,201,广东,绝***洛,mini7+白
一直买富士的拍立得，成像效果不是智能手机可以替代的。京东的优惠一直很大，支付也有优惠，真的太满意了，还送了套装，体验特别好。,2023-08-21 13:25:30,5,1,201,江苏,m***3,mini7+白
产品质量，客服服务态度特别好，很喜欢，好评包装很好，质量非常棒，宝贝完全符合卖家的描述，可以放心购买😍感谢🙏推荐一下,2023-07-21 22:57:23,5,1,201,北京,d***4,mini7+白
物超所值，商品设计完美，外观也很高大上，让人爱不释手。客服更是热情的没话说，这次购物很满意。东西比我想象中的还要完美，十分给力，值得入手,2023-07-26 08:48:06,5,1,201,河北,风***9,mini7+蓝
该商品符合描述，非常喜欢，希望大家慎重选择。我觉得这个商品总的来说还是比较不错划算的，希望我的评价可以帮助你们给你们带来好的购物体验。,2023-08-14 18:17:54,5,1,201,四川,等***雨,mini7+白
非常喜欢这个拍立得蓝色的秘密七，还送的有配件礼盒非常的方便快递也很快，外包装非常完整，还有塑封膜非常的贴心送的，还有电池非常好用。会继续购买的。,2023-08-25 13:34:34,5,1,201,广东,l***2,mini7+蓝
相机更好看，成像效果很不错，反应速度灵敏，操作难度不大，非常容易上手，送朋友很喜欢，非常好看的相机，质量非常好，好评，好看。,2023-09-04 07:49:41,5,1,201,湖北,致***样,mini7+白
拍立得mini7感觉比mini12或者11都不错 主要是便宜很多 而且喜欢手动调光的人的福音 送了配件盒 相机壳肩带都有 很不错,2023-09-20 13:12:02,5,1,201,吉林,j***z,mini7+白
成像效果：非常漂亮反应速度：反应很快，灵敏操作难易：操作简单好上手做工质量：外观非常漂亮！很可爱，非常小清新,2023-08-18 12:30:22,5,1,201,重庆,j***g,mini7+白
相机非常好看，送朋友很喜欢，成像效果很不错，反应速度有点快，操作难度很小，非常容易上手，做工质量很好，外观很细致，外观特色很好,2023-09-05 12:24:40,5,null,201,湖北,致***样,mini7+白
质量非常好，成像效果很不错，反应速度很灵敏，送朋友很喜欢，操作难度不大，很容易上手，做工质量很好看，外观好看，特点很独特，,2023-09-14 07:10:55,5,1,201,湖北,致***样,mini7+白
相机非常好，成像效果好，反应速度灵敏，操作难度小，做工质量非常好，送朋友朋友很喜欢，成像效果不错，相机小巧，非常好看的相机，,2023-09-04 07:47:47,5,1,201,湖北,致***样,mini7+白
相机非常好看，送朋友很喜欢，成像效果好，反应速度灵敏，操作难度很小，做工非常精美，非常好看的相机，精品，很喜欢拍立得。z,2023-09-05 12:17:59,5,null,201,湖北,致***样,mini7+蓝
物流给力，服务态度好，在京东上买东西，总是以很快的速度收到，着实让人感觉到很开心🥳七夕节到了，买台拍立得相机送自己，好看又实惠。,2023-08-21 10:47:16,5,1,201,河南,郑***华,mini7+蓝
相机收到了，很可爱，儿子非常的喜欢，迫不及待的装好胶片，对着我们进行了新一代摄影师的表现，成像效果还可以，操作简单，做工可以。作为儿子的摄影启航吧！,2023-08-20 12:35:25,5,1,0,上海,y***w,mini7+蓝
质量非常好，送朋友很喜欢，反应速度很灵敏，成像效果很不错，操作难度很小，做工质量很好，外观外形很好看、很好看，送朋友很喜欢,2023-09-13 22:29:34,5,1,201,湖北,致***样,mini7+白
质量非常好，成像效果很好，送朋友很喜欢，反应速度灵敏，操作难度很一般，做工精细，反应速度有点快，送朋友很喜欢，非常好看。,2023-09-13 22:33:32,5,null,201,湖北,致***样,mini7+白
终于拿到手啦，感觉特别棒，不仅质量很好，而且价格很nice，非常信任京东的商品，而且京东物流也很快，真是非常满意的物流体验，而且商品还质保很长时间呢，非常开心,2023-08-21 12:48:20,5,1,201,湖北,回***二,mini7+白
非常好看的相机，送朋友很喜欢，成像效果很好，反应速度快，做工难度非常小，外观好看，特色效果非常，送朋友很喜欢，非常好看。,2023-09-05 12:20:09,5,null,201,湖北,致***样,mini7+蓝
朋友一直很想拥有拍立得，这次买了作为礼物送给她。她超级喜欢的，很开心。快递速度很快，隔天就到了～外形外观：很貌美，很适合夏天的颜色～成像效果：拍出来的照片真的很好看，复古的感觉～,2023-08-01 14:09:20,5,1,201,江苏,j***s,mini7+蓝
很好，小妞很喜欢，爱不释手。京东的物流速度没的话说，半天时间就到货了，🈶️自己的仓库就是不一样。美中不足是，没有胶卷，还得另买。,2023-07-27 17:20:07,5,1,201,上海,j***b,mini7+白
我自己买了一个颜值超级高，非常好看，颜色也是我最喜欢的，然后果断黑朋友也买了一个，朋友也非常喜欢，很nice，很喜欢很喜欢，，很开心。,2023-08-03 21:18:40,5,1,201,河南,小***吖,mini7+白
